房间	Room
仓库	Storage
蓝布休闲衣衫	Blue Fabric Casual Shirt
野猪皮休闲下裳	Casual Pants
紫布修行衣衫	Purple Fabric Sect Uniform
野猪皮修行下裳	Boar Hide Cultivator Pants
肉干	Dried Meat
狼皮薄衣衫	Wolf Hide Thin Shirt
可以提高炼制法宝成功率的符咒。	Talisman used to improve success rate of artifact crafting.
太上通宝符	Talisman of Riches
熊皮香囊	Scented Sachet
戊己囊	Central Bag
垃圾	Rubbish
戊土屠神散	Grim God Slaughtering Powder
灵石墙	Spirit Stone Wall
灵石门	Spirit Stone Door
灵石床	Spirit Stone Bed
灵石灯笼	Spirit Stone Lantern
练功点	Training Spot
公兔子	Male Rabbit
雌龟	Female Turtle
雄龟	Male Turtle
雌青蛙	Female Frog
雄青蛙	Male Frog
钟离	Zhongli
舒	Shu
惊魂初定	Soul-Shock Initial Calm
建立门派	Establish a Sect
和	He
慕容	Murong
碧彤	Bitong
<font color=MYCOLOR>田纨</font>在吃<font color=OBJCOLOR>熊胆</font>时，突然思绪万千。	<font color=MYCOLOR>Tian Wan</font> suddenly becomes lost in thought while eating <font color=OBJCOLOR>Bear Gallbladder</font>.
1天 08:46	1d 08:46
田	Tian
纨	Wan
博	Bo
冯	Feng
亦云	Yiyun
支	Zhi
飞扬	Feiyang
史	Shi
妍	Yan
保	Bao
越	Yue
婷	Ting
青青	Qingqing
左丘	Zuoqiu
半芹	Banqin
麻	Ma
紫文	Ziwen
赤脚蛇	No Shoes Snake
教学	Teaching
门	School
药物储量不足	Insufficient medicine reserves.
存档写入完成	Game Saved
钮影感到危险	Niu Ying Senses Danger
敌人出现	Enemy Appears
田纨筑基成功	Tian Zhi succeeded in laying foundation.
钟离舒筑基成功	Zhong Lishu succeeded in laying foundation.
食物储量不足	Insufficient food reserves.
化影诀	Shadow Transformation Formula
太乙不朽神雷	Taiyi Immortal Divine Thunder
坤元秘要	Earthly Origin Secret
少量的	Slightly
千钧	Thousand Jun
混元式	Hybrid Form
苍龙迅击密卷	Azure Dragon Swift Strike Scripture
中量的	Visibly
微草归祖神功	Tiny Grass Return to Ancestry Divine Art
甲乙鲸吞秘要	Secret Essentials of Jia-Yi Devouring
紫云宫神视纪要	Purple Cloud Palace's Divine Vision Summary
大量的	Greatly
天妖化血术	Heavenly Demon Blood Transformation
忘情佛心记	Heartless Buddha Heart Record
己土飞星咒	Ji Tu Shooting Star Curse
麒麟不朽咒	Kirin Immortality Curse
初解三花	First Awakening of Three Blossoms
五台五气	Five Terraces Five Qi
奠基要诀	Foundation Essentials
奠基经	Foundation Scripture
奠基密卷	Foundation Secret Scroll
地龙奠基密卷	Earth Dragon Foundation Scroll
天岭金刚经	Celestial Ridge Diamond Sutra
黄芽奠基秘册	Yellow Sprout Foundation Manual
坤元金刚秘册	Kunlun Diamond Manual
鬼手	Ghost Hand
入道鬼手宝册	Tome of Ghost Hand Initiation
五戒合一册	Five Precepts Unity Volume
戊己合一记	Earth Unity Chronicles
镇岳气摄	Qi Absorption of Mountain Suppressor
地龙摄神记	Earth Dragon Spirit-Snatching Records
海量的	Massively
玄关通慧秘法	Mystic Pass Wisdom Esoterica
驱云诀	Cloud-Dispelling Technique
阴神夺舍	Lesser Possession
形容之蚀	Corrosion of Form
形容返照	Form Reflection
血骨炼形	Blood and Bone Refinement
龟息诀	Turtle Breath Technique
五感之蚀	Corrosion of Five Senses
五感返照	Five Senses Reflection
冥灵真法	Nether Spirit True Method
蛰命法	Life-Hibernation Method
献祭	Sacrifice Offering
神智之蚀	Erosion of Divine Wisdom
神智返照	Wisdom Reflection
鼎炉吸真术	Cauldron Essence Absorption Art
天魔解体大法	Demon Disintegration Art
欺天	Heaven-Deceiving
窃天	Heaven Stealer
阳神夺舍	Greater Possession
气运之蚀	Erosion of Qi Fortune
气运返照	Qi Fortune Reflection
九幽返照	Nine Nethers Reflection
浊之躯	Turbid Flesh
元坤妙法	Yuan Kun Marvelous Method
护体血罡	Blood Aura Body Protection
凝血神盾	Blood Coagulation Divine Shield
伐毛洗髓之术	Bone Cleansing Technique
偷天	Sky Thief
换日	Sun Replacer
秘宝：偷天七绝针	Treasure: Seven Ultimate Heaven-Stealing Needles
天道神丹	Divine Elixir of Heavenly Dao
天道神器	Divine Artifact of Heavenly Dao
冷月鲸吞秘法	Frostmoon Devouring Art
飞星诀	Shooting Star Technique
彻法绝杀神雷	Law's End Annihilation Thunder Technique
五内流光咒	Five Organs Radiance Curse
镇神神雷	Divine Thunder of Spirit Suppressor
曳影	Flickering Shadow
迅影式	Swift Shadow Form
圆转决	Circular Flow Technique
坤元剑	Earth Origin Sword
坤元迅击	Kun Origin Swift Strike
五戒圆转十三式	Five Precepts Circular Thirteen Stances
御气坤元	Kun Yuan of Qi Control
赤日曳影	Flickering Shadow of Crimson Sun
天岭蓄神十式	Celestial Ridge Spirit-Storing Ten Forms
金丹圆转剑	Golden Elixir Circular Sword
万里破灭秘要	Secret Essentials of Ten Thousand Li Annihilation
戊己圆转式	Wu Ji Circular Motion Form
决意	Resolution
己土摄神典	Earth Spirit-Snatching Scripture
坤元琢玉秘传	Kunyuan Jade Polishing Secret Transmission
