房间	Room
仓库1	Storage 1
仓库2	Storage 2
兔皮薄衣衫	Rabbit Hide Thin Shirt
紫布休闲下裳	Purple Fabric Casual Pants
蓝布薄衣衫	Blue Fabric Thin Shirt
白布薄下裳	White Fabric Thin Pants
大理石剑	Sword
寒晶伐木斧	Ice Crystal Timber Axe
肉干	Dried Meat
木伐木斧	Wood Timber Axe
木矿镐	Pickaxe
紫布薄衣衫	Purple Fabric Thin Shirt
蓝布修行下裳	Blue Fabric Cultivator Pants
木刀	Wood Blade
灰石矿镐	Graystone Pickaxe
木墙	Wood Wall
木门	Wood Door
木床	Wood Bed
灵石炉灶	Spirit Stone Stove
梧桐木桌子	Parasol Wood Table
梧桐木墙	Parasol Wood Wall
梧桐木门	Parasol Wood Door
材料加工点	Material Work place
手工点	Work Place
灵石水井	Spirit Stone Well
母兔子	Female Rabbit
公鸡	Male Chicken
雄龟	Male Turtle
雌龟	Female Turtle
雄青蛙	Male Frog
雌青蛙	Female Frog
<font color=MYCOLOR>梁菊</font>看到<font color=HECOLOR>双元</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Liang Ju</font> spotted <font color=HECOLOR>Shuang Yuan</font> approaching from afar and waved to greet [HIM].
2天 07:20	2d 07:20
万里无云，<font color=MYCOLOR>梁菊</font>一个人制作<font color=OBJCOLOR>矿镐</font>，突然思绪万千。	"Under cloudless skies, <font color=MYCOLOR>Liang Ju</font> was suddenly lost in thought while crafting a <font color=OBJCOLOR>mining pick</font> alone."
2天 14:21	2d 14:21
梁	Liang
菊	Ju
新家园	New Homeland
双元	Dual Origin
伟	Wei
弘	Hong
新柔	Xinrou
欧阳	Ouyang
寻雪	Xunxue
<font color=MYCOLOR>双元</font>看到<font color=HECOLOR>梁菊</font>打老远过来，就向她挥了挥手，打了个招呼。	<font color=MYCOLOR>Shuang Yuan</font> spotted <font color=HECOLOR>Liang Ju</font> approaching from afar and waved to greet [HER].
<font color=MYCOLOR>双元</font>正兴高采烈的赶路，看<font color=HECOLOR>梁菊</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>梁菊</font>的事。	"<font color=MYCOLOR>Shuang Yuan</font> was cheerfully traveling when [HE] saw <font color=HECOLOR>Liang Ju</font> passing by, so [HE] stopped her to chat about <font color=OBJCOLOR>Liang Ju</font>"
2天 19:23	2d 19:23
双	Shuang
元	Yuan
梁菊	Liang Ju
安	An
郑	Zheng
依凝	Yining
萧	Xiao
瑞	Rui
佟	Tong
紫雅	Ziya
闫	Yan
震	Zhen
生	Sheng
凌	Ling
傲芙	Aofu
韦	Wei
化烟	Huayan
慕名而来	Come here for your reputation
等待收留	Awaiting Admission
存档写入完成	Game Saved
梁菊感到危险	Liang Ju Senses Danger
药物储量不足	Insufficient medicine reserves.
食物储量不足	Insufficient food reserves.
梁菊情绪糟糕	Liang Ju's Bad Mood
梁菊需要开采工具	Liang Ju needs mining tools
双元需要砍伐工具	Shuangyuan needs logging tools
双元：受伤	Shuangyuan: hurt.
梁菊：受伤	Liang Ju: hurt.
路人需要帮助	Passerby in Need
江湖秘闻	Worldly Secret
天苍246年 春 第10日	Tiancang Year 246 Spring Day 10
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	They say the desert's heart recently quaked—the ancient demonic holy site Dragon Cliff Inscriptions has reappeared!
天火心光诀	Heavenly Fire Heart Light Art
燃魂九极咒	Soul-Burning Nine Extremities Curse
朱雀金刚	Zhuque Diamond
造化不坏神雷	Creation Indestructible Thunder
迅影秘法	Swift Shadow Secret Method
少量的	Slightly
混元决	Primordial Chaos Technique
混元密卷	Primordial Chaos Secret Scroll
圆转秘诀	Circular Flow Secret
黄芽迅击	Swift Strike of Yellow Sprout
中量的	Visibly
赤炎迅击秘法	Crimson Blitz Secret Art
黄庭混元宝典	Yellow Court Hybrid Canon
真丹蓄神剑诀	True Elixir Spirit-Storing Sword Art
神佑典	Divine Protection Canon
景氏摄神要诀	Jing Family's Soul Capture Technique
紫火神佑典	Violet Flame Divine Protection Scripture
大量的	Greatly
丙火摄神书	Fire Spirit-Snatching Tome
过去庄严琢玉秘传	Past Majesty Jade Carving Secret Tradition
海量的	Massively
再造形神之术	Body-Spirit Reformation Art
南海清心神功	Southern Sea Heart-Cleansing Art
