祝贺	Congrats!
房间	Room
仓库	Storage
蓝布休闲衣衫	Blue Fabric Casual Shirt
野猪皮休闲下裳	Casual Pants
紫布修行衣衫	Purple Fabric Sect Uniform
野猪皮修行下裳	Boar Hide Cultivator Pants
肉干	Dried Meat
灰石刀	Graystone Blade
天柱石剑	Holy Stone Sword
可以提高移动速度的符咒。	Talisman used to raise move speed.
钟离舒	Zhongli Shu
轻身符	Agility Talisman
灵石墙	Spirit Stone Wall
灵石门	Spirit Stone Door
灵石床	Spirit Stone Bed
灵石灯笼	Spirit Stone Lantern
灵石炼宝台	Spirit Stone Crafting Table
灵石丹炉	Spirit Stone Alchemy Furnace
灵石画符桌	Spirit Stone Talisman Table
公兔子	Male Rabbit
雌龟	Female Turtle
雄龟	Male Turtle
雌青蛙	Female Frog
雄青蛙	Male Frog
<font color=MYCOLOR>钟离舒</font>因<font color=OBJCOLOR>心境中正</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	<font color=MYCOLOR>Zhongli Shu</font> is in a good mood due to <font color=OBJCOLOR>'Balanced Mindset'</font> and can't help but <font color=OBJCOLOR>gaze at the sky</font> to express [HIS] feelings.
1天 12:15	1d 12:15
钟离	Zhongli
舒	Shu
惊魂初定	Soul-Shock Initial Calm
建立门派	Establish a Sect
和	He
慕容	Murong
碧彤	Bitong
掌门	Sect Leader
<font color=MYCOLOR>田纨</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>田婉</font>喜欢<font color=OBJCOLOR>晴天</font>
1天 09:56	1d 09:56
田	Tian
纨	Wan
博	Bo
冯	Feng
亦云	Yiyun
支	Zhi
飞扬	Feiyang
扫地	Sweep Floors
教学	Teaching
门	School
存档写入完成	Game Saved
钮影感到危险	Niu Ying Senses Danger
钟离舒筑基成功	Zhong Lishu succeeded in laying foundation.
田纨筑基成功	Tian Zhi succeeded in laying foundation.
药物储量不足	Insufficient medicine reserves.
天下传闻	World Adventure
天苍246年 春 第10日	Tiancang Year 246 Spring Day 10
据传昆仑宫的大能闻蓉在铜陵山出没。	It's said the mighty Wen Rong of Kunlun Palace has been spotted at Tongling Mountain.
据传正一道的大能花民在铜陵山出没。	It's said the mighty Hua Min of Zhengyi Dao has been spotted at Tongling Mountain.
据传紫霄宗的大能马刚在南屏村出没。	It's said the mighty Ma Gang of Zixiao Sect has been spotted in Nanping Village.
化影诀	Shadow Transformation Formula
太乙不朽神雷	Taiyi Immortal Divine Thunder
坤元秘要	Earthly Origin Secret
少量的	Slightly
千钧	Thousand Jun
混元式	Hybrid Form
苍龙迅击密卷	Azure Dragon Swift Strike Scripture
中量的	Visibly
微草归祖神功	Tiny Grass Return to Ancestry Divine Art
甲乙鲸吞秘要	Secret Essentials of Jia-Yi Devouring
紫云宫神视纪要	Purple Cloud Palace's Divine Vision Summary
大量的	Greatly
天妖化血术	Heavenly Demon Blood Transformation
忘情佛心记	Heartless Buddha Heart Record
太阴锻体	Lunar Forging Body
少阴锻体	Body Forging of Lesser Yin
玄阴锻体	Body Forging of Profound Yin
瞬形法	Instant Form Method
九幽炼神	Nine Nethers Spirit Refinement
太虚神盾	Great Void Divine Shield
少阴诀	Lesser Yin Formula
玄阴诀	Profound Yin Formula
幽狱诀	Nether Prison Technique
坤元真气	Earthly Origin True Qi
一剑	One Sword
秘宝：一剑	Treasure: Single Sword
神行术	Divine Movement Technique
九州大法	Nine Provinces Great Method
辟邪真法	Evil-Warding True Method
幽剑	Phantom Sword
地母玄经	Mystic Scripture of Earth Mother
凝珀诀	Amber Condensation Formula
摄神御鬼大法	Spirit-Capture Ghost Control Art
尘暴术	Dust Storm Technique
玄牝重生法	Mystic Feminine Rebirth Method
八极炼形诀	Eight Extremities Body Refinement
灵视神观	Spiritual Vision Divine Observation
太虚元罡	Great Void Primordial Gang
瞬霎诀	Instant Flash Technique
太阴诀	Lunar Formula
渊狱诀	Abyss Prison Formula
通幽秘传	Secret Transmission of Nether Passage
幽淬之法	Ghostly Tempering Technique
灵淬之法	Spirit Refinement Method
厚德篇	Virtuous Chapter
虚空谒神法	Void God-Invoking Method
坏灭诀	Annihilation Technique
再造形神之术	Body-Spirit Reformation Art
天道神丹	Divine Elixir of Heavenly Dao
天道神器	Divine Artifact of Heavenly Dao
